"uid","fare_amount","pickup_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count"
31722,9,"2013-01-07 01:50:51 UTC",-73.991421,40.75016,-73.98949,40.726085,2
14674,14,"2013-01-15 20:08:00 UTC",-73.997945,40.741057,-73.956223,40.767312,6
37571,19.5,"2013-01-20 00:25:55 UTC",-73.999161,40.688531,-74.026611,40.616634,1
47583,6,"2013-01-01 02:30:00 UTC",-73.99149,40.744257,-73.980912,40.748492,1
29473,33.5,"2013-01-02 10:45:00 UTC",-73.972773,40.677702,-73.862242,40.768117,1
60566,18.5,"2013-01-18 09:20:41 UTC",-73.985207,40.764599,-74.014014,40.714034,1
56325,4,"2013-01-29 08:38:00 UTC",-73.977032,40.756137,-73.97374,40.761447,5
33883,39.3,"2013-01-16 09:59:00 UTC",-73.872655,40.773752,-73.972863,40.753335,1
31371,9.5,"2013-01-31 17:28:00 UTC",-73.988647,40.718792,-74.009725,40.719937,2
52333,17.5,"2013-01-19 03:05:00 UTC",-74.006713,40.744155,-73.948615,40.79152,5
45697,10.5,"2013-01-19 09:52:00 UTC",-73.954608,40.779667,-73.983252,40.761505,1
43483,7,"2013-01-24 22:11:00 UTC",-73.963708,40.770872,-73.948782,40.773812,1
12678,4,"2013-01-17 13:42:06 UTC",-73.990101,40.741641,-73.981257,40.737991,1
8077,71.75,"2013-01-26 11:18:33 UTC",-74.009028,40.738232,-74.182608,40.687826,1
47265,13,"2013-01-06 03:12:49 UTC",-73.941769,40.788129,-73.940981,40.810892,1
19097,7,"2013-01-25 14:14:13 UTC",-73.993333,40.732556,-73.998618,40.736907,1
32062,10.5,"2013-01-19 11:27:14 UTC",-73.987786,40.770079,-73.953341,40.788508,1
64498,13,"2013-01-27 09:55:47 UTC",-73.995384,40.717377,-73.965947,40.761975,1
38079,5,"2013-01-22 06:03:45 UTC",-73.989832,40.762076,-73.993747,40.752502,1
59732,8.5,"2013-01-19 22:41:00 UTC",-73.98991,40.718982,-74.007677,40.708647,1
39491,16,"2013-01-18 04:39:00 UTC",-73.96718,40.756812,-74.00555,40.709092,1
39866,10.5,"2013-01-07 07:17:00 UTC",-73.991425,40.727177,-73.967955,40.760105,1
54931,35.5,"2013-01-27 01:04:09 UTC",-73.996681,40.72355,-73.918558,40.758155,2
53879,21.5,"2013-01-01 18:37:00 UTC",-73.994593,40.756048,-73.990295,40.687457,1
11649,8,"2013-01-09 10:45:00 UTC",-73.98722,40.745572,-74.004592,40.751112,2
34121,3.5,"2013-01-11 22:47:09 UTC",-73.956774,40.776568,-73.952562,40.780944,1
12809,33.5,"2013-01-07 20:42:37 UTC",-73.996021,40.725132,-73.816387,40.735004,1
5011,16.5,"2013-01-08 15:53:00 UTC",-73.955765,40.782122,-73.982157,40.751652,1
48669,6.5,"2013-01-28 08:38:56 UTC",-73.963443,40.766059,-73.958036,40.779531,2
63613,7.5,"2013-01-28 13:55:00 UTC",-73.975985,40.754987,-73.961942,40.770217,1
53846,5.5,"2013-01-30 20:39:56 UTC",-73.986888,40.745942,-73.991295,40.735009,1
57702,9.5,"2013-01-17 12:39:00 UTC",-73.980983,40.779987,-73.95598,40.779625,1
50443,6.5,"2013-01-21 19:26:10 UTC",-73.999222,40.754344,-73.982299,40.767678,2
42664,7.5,"2013-01-24 00:27:09 UTC",-73.975967,40.758187,-73.957498,40.767625,1
18273,5.5,"2013-01-27 05:25:17 UTC",-73.955222,40.718208,-73.957833,40.731195,1
18731,10,"2013-01-20 19:21:00 UTC",-73.994128,40.751085,-73.978817,40.782212,6
49648,6,"2013-01-18 04:41:25 UTC",-73.971091,40.761828,-73.98246,40.771444,2
21953,14.5,"2013-01-16 21:13:00 UTC",-73.973332,40.772257,-74.015902,40.708377,1
36915,22.5,"2013-01-10 19:43:43 UTC",-73.993836,40.681683,-73.978065,40.744782,1
9107,7,"2013-01-31 18:34:00 UTC",-73.99179,40.750582,-73.991008,40.755655,1
25310,16,"2013-01-31 11:54:00 UTC",-73.99442,40.7194,-73.987735,40.745722,1
68186,8.5,"2013-01-25 23:51:47 UTC",-73.973603,40.764756,-73.976985,40.7767,1
30438,11,"2013-01-18 20:32:00 UTC",-73.97779,40.734012,-74.001012,40.73671,5
23279,9,"2013-01-20 00:04:00 UTC",-73.983478,40.72624,-74.002207,40.733677,1
45452,10,"2013-01-27 06:24:06 UTC",-73.999331,40.728328,-73.990206,40.75692,1
48784,38.8,"2013-01-25 07:19:43 UTC",-73.985578,40.759251,-73.872568,40.774578,1
62362,10,"2013-01-25 15:17:10 UTC",-73.976105,40.736228,-74.002287,40.746853,1
12842,16,"2013-01-03 20:01:08 UTC",-73.951919,40.787652,-73.988145,40.737773,1
26782,4,"2013-01-07 20:11:00 UTC",-73.98914,40.726627,-73.984232,40.725147,1
69544,12.5,"2013-01-14 19:50:00 UTC",-73.997507,40.724522,-73.948962,40.71182,5
28388,5,"2013-01-19 14:59:00 UTC",-73.95961,40.771147,-73.95341,40.778497,6
65266,4,"2013-01-24 08:35:00 UTC",-73.97938,40.767092,-73.9791,40.771972,6
20617,9,"2013-01-02 05:27:00 UTC",-73.910732,40.776122,-73.87693,40.768085,1
13988,2.5,"2013-01-01 17:25:14 UTC",-73.99917,40.734159,-73.980128,40.761874,1
36961,27.5,"2013-01-02 11:12:00 UTC",-73.97789,40.684812,-74.040362,40.620902,5
24415,8,"2013-01-19 10:56:00 UTC",-73.9653,40.775525,-73.97898,40.781672,3
52856,4,"2013-01-11 07:39:40 UTC",-73.989507,40.747893,-73.996576,40.75101,1
50329,11.5,"2013-01-17 14:22:57 UTC",-73.95711,40.768318,-73.951355,40.797825,1
46759,3.5,"2013-01-04 17:21:00 UTC",-73.970948,40.758127,-73.974643,40.753307,1
24472,31.25,"2013-01-24 08:41:00 UTC",-73.997392,40.751825,-74.036135,40.723737,1
2762,5,"2013-01-26 20:08:00 UTC",-73.97367,40.755915,-73.982917,40.756787,1
5519,5.5,"2013-01-11 11:47:55 UTC",-73.961109,40.760664,-73.953582,40.767419,1
17979,56.8,"2013-01-24 10:28:35 UTC",-73.790277,40.643616,-73.987383,40.745758,1
5603,8,"2013-01-11 18:34:00 UTC",-73.965958,40.778127,-73.965958,40.778127,1
27690,34,"2013-01-21 10:01:00 UTC",-73.97756,40.752042,-74.011327,40.655817,1
6740,6.5,"2013-01-11 13:55:00 UTC",-73.964858,40.775348,-73.972867,40.764527,3
12810,7,"2013-01-21 14:11:00 UTC",-73.948045,40.782997,-73.957175,40.777362,2
60465,7.5,"2013-01-04 11:57:07 UTC",-73.949715,40.771065,-73.949612,40.776683,1
4486,8,"2013-01-06 16:57:00 UTC",-73.959,40.774873,-73.956953,40.786322,5
27796,7.5,"2013-01-17 11:01:00 UTC",-73.986357,40.74918,-73.99395,40.749397,1
52756,14,"2013-01-24 22:14:12 UTC",-73.982031,40.77058,-74.003714,40.731948,2
69779,10,"2013-01-07 08:22:00 UTC",-73.989267,40.768103,-73.96995,40.759215,3
51415,6,"2013-01-21 14:46:56 UTC",-73.979854,40.786199,-73.983779,40.773679,1
