uid,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,haversine,passenger_count,pickup_day,holiday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,weekend,pickup_hour,rush_hour,overnight,LGA_pickup,LGA_dropoff,JFK_pickup,JFK_dropoff,EWR_pickup,EWR_dropoff,change_borough,quick_trip,Outlier_dropoff,Outlier_pickup
31722,9.0,-73.991421,40.75016,-73.98949,40.726085,1.6664930932069637,2,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
14674,14.0,-73.997945,40.741057,-73.956223,40.767312,2.8388985684122496,6,15,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
37571,19.5,-73.999161,40.688531,-74.026611,40.616634,5.171809208771454,1,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
47583,6.0,-73.99149,40.744257,-73.980912,40.748492,0.6262729412461074,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
29473,33.5,-73.972773,40.677702,-73.862242,40.768117,8.516175714279617,1,2,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0
60566,18.5,-73.985207,40.764599,-74.014014,40.714034,3.8052996779011106,1,18,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
56325,4.0,-73.977032,40.756137,-73.97374,40.761447,0.4053258857044796,5,29,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
33883,39.3,-73.872655,40.773752,-73.972863,40.753335,5.430519381396198,1,16,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0
31371,9.5,-73.988647,40.718792,-74.009725,40.719937,1.1066202061811292,2,31,0,0,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0
52333,17.5,-74.006713,40.744155,-73.948615,40.79152,4.466850056986922,5,19,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0
45697,10.5,-73.954608,40.779667,-73.983252,40.761505,1.954798352639748,1,19,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,1,0,0
43483,7.0,-73.963708,40.770872,-73.948782,40.773812,0.8069901651956615,1,24,0,0,0,0,1,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
12678,4.0,-73.990101,40.741641,-73.981257,40.737991,0.5272193407345928,1,17,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
8077,71.75,-74.009028,40.738232,-74.182608,40.687826,9.735000523316097,1,26,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,1,1,0,1,0
47265,13.0,-73.941769,40.788129,-73.940981,40.810892,1.573313451756953,1,6,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0
19097,7.0,-73.993333,40.732556,-73.998618,40.736907,0.40857775209479885,1,25,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
32062,10.5,-73.987786,40.770079,-73.953341,40.788508,2.2066039878481214,1,19,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,1,0,0
64498,13.0,-73.995384,40.717377,-73.965947,40.761975,3.445293038412339,1,27,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0
38079,5.0,-73.989832,40.762076,-73.993747,40.752502,0.6925074371693131,1,22,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
59732,8.5,-73.98991,40.718982,-74.007677,40.708647,1.1729037763351369,1,19,0,0,0,0,0,0,1,1,22,0,1,0,0,0,0,0,0,0,1,0,0
39491,16.0,-73.96718,40.756812,-74.00555,40.709092,3.860935475489461,1,18,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0
39866,10.5,-73.991425,40.727177,-73.967955,40.760105,2.585648765540746,1,7,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
54931,35.5,-73.996681,40.72355,-73.918558,40.758155,4.737373631177512,2,27,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
53879,21.5,-73.994593,40.756048,-73.990295,40.687457,4.74452790703069,1,1,1,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0
11649,8.0,-73.98722,40.745572,-74.004592,40.751112,0.9866019238953441,2,9,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
34121,3.5,-73.956774,40.776568,-73.952562,40.780944,0.3741405824527433,1,11,0,0,0,0,0,1,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0
12809,33.5,-73.996021,40.725132,-73.816387,40.735004,9.430055348454832,1,7,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0
5011,16.5,-73.955765,40.782122,-73.982157,40.751652,2.517849969238052,1,8,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0
48669,6.5,-73.963443,40.766059,-73.958036,40.779531,0.9728730240660765,2,28,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
63613,7.5,-73.975985,40.754987,-73.961942,40.770217,1.2835157872459237,1,28,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
53846,5.5,-73.986888,40.745942,-73.991295,40.735009,0.7898434364053128,1,30,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
57702,9.5,-73.980983,40.779987,-73.95598,40.779625,1.3083781937308958,1,17,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
50443,6.5,-73.999222,40.754344,-73.982299,40.767678,1.2779490538384928,2,21,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0
42664,7.5,-73.975967,40.758187,-73.957498,40.767625,1.165942021591521,1,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18273,5.5,-73.955222,40.718208,-73.957833,40.731195,0.907672020015767,1,27,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0
18731,10.0,-73.994128,40.751085,-73.978817,40.782212,2.2950680620296904,6,20,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0
49648,6.0,-73.971091,40.761828,-73.98246,40.771444,0.8918403125808203,2,18,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0
21953,14.5,-73.973332,40.772257,-74.015902,40.708377,4.944400531073139,1,16,0,0,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,1,0,0
36915,22.5,-73.993836,40.681683,-73.978065,40.744782,4.437274791985183,1,10,0,0,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0
9107,7.0,-73.99179,40.750582,-73.991008,40.755655,0.35289258635389115,1,31,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0
25310,16.0,-73.99442,40.7194,-73.987735,40.745722,1.8520497116031076,1,31,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
68186,8.5,-73.973603,40.764756,-73.976985,40.7767,0.8440131591620819,1,25,0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,1,0,0
30438,11.0,-73.97779,40.734012,-74.001012,40.73671,1.2299794137387738,5,18,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
23279,9.0,-73.983478,40.72624,-74.002207,40.733677,1.1070956296931334,1,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
45452,10.0,-73.999331,40.728328,-73.990206,40.75692,2.0324503148684907,1,27,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0
48784,38.8,-73.985578,40.759251,-73.872568,40.774578,6.007820049874936,1,25,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0
62362,10.0,-73.976105,40.736228,-74.002287,40.746853,1.5548333712009086,1,25,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0
12842,16.0,-73.951919,40.787652,-73.988145,40.737773,3.9333366543519177,1,3,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
26782,4.0,-73.98914,40.726627,-73.984232,40.725147,0.27658872128607964,1,7,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0
69544,12.5,-73.997507,40.724522,-73.948962,40.71182,2.68941998725063,5,14,0,1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0
28388,5.0,-73.95961,40.771147,-73.95341,40.778497,0.6026076193457155,6,19,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,1,0,0
65266,4.0,-73.97938,40.767092,-73.9791,40.771972,0.33749407454055996,6,24,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
20617,9.0,-73.910732,40.776122,-73.87693,40.768085,1.8538250901875257,1,2,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,1,0,0,0
13988,2.5,-73.99917,40.734159,-73.980128,40.761874,2.1588019613384155,1,1,1,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0
36961,27.5,-73.97789,40.684812,-74.040362,40.620902,5.497525474365071,5,2,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0
24415,8.0,-73.9653,40.775525,-73.97898,40.781672,0.8322678007258981,3,19,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0
52856,4.0,-73.989507,40.747893,-73.996576,40.75101,0.4281262499662829,1,11,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
50329,11.5,-73.95711,40.768318,-73.951355,40.797825,2.060851681248275,1,17,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0
